time,mortgage_rate,cash_rate,bond_yield_10y,housing_credit_growth,housing_lending_rate,unemployment_rate,trimmed_mean_inflation,household_disposable_income,net_overseas_migration,building_approvals,dwelling_commencements,cpi_rents
1959-02-01,5.000000,,,,,,,,,,,
1959-03-01,5.000000,,,,,,,,,,,
1959-04-01,5.000000,,,,,,,,,,,
1959-05-01,5.000000,,,,,,,,,,,
1959-06-01,5.000000,,,,,,,,,,,
1959-07-01,5.000000,,,,,,,,,,,
1959-08-01,5.000000,,,,,,,,,,,
1959-09-01,5.000000,,,,,,,3104.000000,,,,
1959-10-01,5.000000,,,,,,,3104.000000,,,,
1959-11-01,5.000000,,,,,,,3104.000000,,,,
1959-12-01,5.000000,,,,,,,3133.000000,,,,
1960-01-01,5.000000,,,,,,,3133.000000,,,,
1960-02-01,5.000000,,,,,,,3133.000000,,,,
1960-03-01,5.000000,,,,,,,3171.000000,,,,
1960-04-01,5.000000,,,,,,,3171.000000,,,,
1960-05-01,5.000000,,,,,,,3171.000000,,,,
1960-06-01,5.000000,,,,,,,3302.000000,,,,
1960-07-01,5.000000,,,,,,,3302.000000,,,,
1960-08-01,5.000000,,,,,,,3302.000000,,,,
1960-09-01,5.000000,,,,,,,3279.000000,,,,
1960-10-01,5.000000,,,,,,,3279.000000,,,,
1960-11-01,5.000000,,,,,,,3279.000000,,,,
1960-12-01,5.000000,,,,,,,3346.000000,,,,
1961-01-01,5.500000,,,,,,,3346.000000,,,,
1961-02-01,5.500000,,,,,,,3346.000000,,,,
1961-03-01,5.500000,,,,,,,3403.000000,,,,
1961-04-01,5.500000,,,,,,,3403.000000,,,,
1961-05-01,5.500000,,,,,,,3403.000000,,,,
1961-06-01,5.500000,,,,,,,3370.000000,,,,
1961-07-01,5.500000,,,,,,,3370.000000,,,,
1961-08-01,5.500000,,,,,,,3370.000000,,,,
1961-09-01,5.500000,,,,,,,3358.000000,,,,
1961-10-01,5.500000,,,,,,,3358.000000,,,,
1961-11-01,5.500000,,,,,,,3358.000000,,,,
1961-12-01,5.500000,,,,,,,3367.000000,,,,
1962-01-01,5.500000,,,,,,,3367.000000,,,,
1962-02-01,5.500000,,,,,,,3367.000000,,,,
1962-03-01,5.500000,,,,,,,3440.000000,,,,
1962-04-01,5.500000,,,,,,,3440.000000,,,,
1962-05-01,5.500000,,,,,,,3440.000000,,,,
1962-06-01,5.500000,,,,,,,3556.000000,,,,
1962-07-01,5.500000,,,,,,,3556.000000,,,,
1962-08-01,5.500000,,,,,,,3556.000000,,,,
1962-09-01,5.500000,,,,,,,3575.000000,,,,
1962-10-01,5.500000,,,,,,,3575.000000,,,,
1962-11-01,5.500000,,,,,,,3575.000000,,,,
1962-12-01,5.500000,,,,,,,3631.000000,,,,
1963-01-01,5.500000,,,,,,,3631.000000,,,,
1963-02-01,5.500000,,,,,,,3631.000000,,,,
1963-03-01,5.500000,,,,,,,3685.000000,,,,
1963-04-01,5.000000,,,,,,,3685.000000,,,,
1963-05-01,5.000000,,,,,,,3685.000000,,,,
1963-06-01,5.000000,,,,,,,3747.000000,,,,
1963-07-01,5.000000,,,,,,,3747.000000,,,,
1963-08-01,5.000000,,,,,,,3747.000000,,,,
1963-09-01,5.000000,,,,,,,3944.000000,,,,
1963-10-01,5.000000,,,,,,,3944.000000,,,,
1963-11-01,5.000000,,,,,,,3944.000000,,,,
1963-12-01,5.000000,,,,,,,4017.000000,,,,
1964-01-01,5.000000,,,,,,,4017.000000,,,,
1964-02-01,5.000000,,,,,,,4017.000000,,,,
1964-03-01,5.000000,,,,,,,4034.000000,,,,
1964-04-01,5.000000,,,,,,,4034.000000,,,,
1964-05-01,5.000000,,,,,,,4034.000000,,,,
1964-06-01,5.130000,,,,,,,4122.000000,,,,
1964-07-01,5.130000,,,,,,,4122.000000,,,,
1964-08-01,5.130000,,,,,,,4122.000000,,,,
1964-09-01,5.130000,,,,,,,4204.000000,,,,
1964-10-01,5.130000,,,,,,,4204.000000,,,,
1964-11-01,5.130000,,,,,,,4204.000000,,,,
1964-12-01,5.130000,,,,,,,4292.000000,,,,
1965-01-01,5.130000,,,,,,,4292.000000,,,,
1965-02-01,5.130000,,,,,,,4292.000000,,,,
1965-03-01,5.130000,,,,,,,4377.000000,,,,
1965-04-01,5.380000,,,,,,,4377.000000,,,,
1965-05-01,5.380000,,,,,,,4377.000000,,,,
1965-06-01,5.380000,,,,,,,4390.000000,,,,
1965-07-01,5.380000,,,,,,,4390.000000,,,,
1965-08-01,5.380000,,,,,,,4390.000000,,,,
1965-09-01,5.380000,,,,,,,4428.000000,,,,
1965-10-01,5.380000,,,,,,,4428.000000,,,,
1965-11-01,5.380000,,,,,,,4428.000000,,,,
1965-12-01,5.380000,,,,,,,4445.000000,,,,
1966-01-01,5.380000,,,,,,,4445.000000,,,,
1966-02-01,5.380000,,,,,,,4445.000000,,,,
1966-03-01,5.380000,,,,,,,4560.000000,,,,
1966-04-01,5.380000,,,,,,,4560.000000,,,,
1966-05-01,5.380000,,,,,,,4560.000000,,,,
1966-06-01,5.380000,,,,,,,4657.000000,,,,
1966-07-01,5.380000,,,,,,,4657.000000,,,,
1966-08-01,5.380000,,,,,,,4657.000000,,,,
1966-09-01,5.380000,,,,,,,4834.000000,,,,
1966-10-01,5.380000,,,,,,,4834.000000,,,,
1966-11-01,5.380000,,,,,,,4834.000000,,,,
1966-12-01,5.380000,,,,,,,4950.000000,,,,
1967-01-01,5.380000,,,,,,,4950.000000,,,,
1967-02-01,5.380000,,,,,,,4950.000000,,,,
1967-03-01,5.380000,,,,,,,5137.000000,,,,
1967-04-01,5.380000,,,,,,,5137.000000,,,,
1967-05-01,5.380000,,,,,,,5137.000000,,,,
1967-06-01,5.380000,,,,,,,5144.000000,,,,
1967-07-01,5.380000,,,,,,,5144.000000,,,,
1967-08-01,5.380000,,,,,,,5144.000000,,,,
1967-09-01,5.380000,,,,,,,5192.000000,,,,
1967-10-01,5.380000,,,,,,,5192.000000,,,,
1967-11-01,5.380000,,,,,,,5192.000000,,,,
1967-12-01,5.380000,,,,,,,5344.000000,,,,
1968-01-01,5.380000,,,,,,,5344.000000,,,,
1968-02-01,5.380000,,,,,,,5344.000000,,,,
1968-03-01,5.380000,,,,,,,5261.000000,,,,
1968-04-01,5.380000,,,,,,,5261.000000,,,,
1968-05-01,5.380000,,,,,,,5261.000000,,,,
1968-06-01,5.380000,,,,,,,5494.000000,,,,
1968-07-01,5.380000,,,,,,,5494.000000,,,,
1968-08-01,5.880000,,,,,,,5494.000000,,,,
1968-09-01,5.880000,,,,,,,5648.000000,,,,
1968-10-01,5.880000,,,,,,,5648.000000,,,,
1968-11-01,5.880000,,,,,,,5648.000000,,,,
1968-12-01,5.880000,,,,,,,5944.000000,,,,
1969-01-01,5.880000,,,,,,,5944.000000,,,,
1969-02-01,5.880000,,,,,,,5944.000000,,,,
1969-03-01,5.880000,,,,,,,5931.000000,,,,
1969-04-01,5.880000,,,,,,,5931.000000,,,,
1969-05-01,5.880000,,,,,,,5931.000000,,,,
1969-06-01,5.880000,,,,,,,6069.000000,,,,
1969-07-01,5.880000,,,,,,,6069.000000,,,,
1969-08-01,5.880000,,,,,,,6069.000000,,,,
1969-09-01,5.880000,,,,,,,6341.000000,,,,
1969-10-01,5.880000,,,,,,,6341.000000,,,,
